time,tl_id,chosen_action,pressure,upstream_sum,active_veh
941.0,J4,0,0,0,30
946.0,J1,3,3,3,32
946.0,J2,0,0,0,32
946.0,J3,1,1,1,32
946.0,J4,0,0,0,32
951.0,J1,3,2,2,36
951.0,J2,1,1,2,36
951.0,J3,0,0,0,36
951.0,J4,1,1,1,36
956.0,J1,1,1,1,31
956.0,J2,1,1,1,31
956.0,J3,0,0,1,31
956.0,J4,1,1,1,31
961.0,J1,1,4,4,34
961.0,J2,0,3,3,34
961.0,J3,1,2,2,34
961.0,J4,0,2,2,34
966.0,J1,2,3,3,32
966.0,J2,0,0,0,32
966.0,J3,1,0,0,32
966.0,J4,0,0,0,32
971.0,J1,2,2,2,31
971.0,J2,1,2,2,31
971.0,J3,3,1,1,31
971.0,J4,0,0,0,31
976.0,J1,3,2,2,33
976.0,J2,1,1,1,33
976.0,J3,3,1,1,33
976.0,J4,1,2,2,33
981.0,J1,3,2,2,32
981.0,J2,0,2,2,32
981.0,J3,1,3,3,32
981.0,J4,1,0,0,32
986.0,J1,1,1,1,33
986.0,J2,0,0,0,33
986.0,J3,1,0,0,33
986.0,J4,0,2,2,33
991.0,J1,1,3,3,34
991.0,J2,1,1,2,34
991.0,J3,0,3,3,34
991.0,J4,0,1,1,34
996.0,J1,2,2,2,29
996.0,J2,1,0,0,29
996.0,J3,0,0,0,29
996.0,J4,1,1,1,29
1001.0,J1,2,1,1,30
1001.0,J2,0,1,1,30
1001.0,J3,3,2,2,30
1001.0,J4,1,1,1,30
1006.0,J1,3,2,2,30
1006.0,J2,0,1,1,30
1006.0,J3,3,2,2,30
1006.0,J4,0,1,1,30
1011.0,J1,3,1,1,33
1011.0,J2,1,2,2,33
1011.0,J3,1,3,3,33
1011.0,J4,0,0,0,33
1016.0,J1,1,1,1,32
1016.0,J2,1,0,0,32
1016.0,J3,1,2,2,32
1016.0,J4,1,2,2,32
1021.0,J1,1,2,2,34
1021.0,J2,0,1,1,34
1021.0,J3,0,3,3,34
1021.0,J4,1,1,1,34
1026.0,J1,0,1,1,31
1026.0,J2,0,2,2,31
1026.0,J3,0,0,0,31
1026.0,J4,0,0,0,31
1031.0,J1,0,1,1,30
1031.0,J2,2,3,3,30
1031.0,J3,0,0,0,30
1031.0,J4,0,1,1,30
1036.0,J1,1,1,2,32
1036.0,J2,2,0,2,32
1036.0,J3,1,1,2,32
1036.0,J4,1,1,2,32
1041.0,J1,1,1,1,35
1041.0,J2,1,4,4,35
1041.0,J3,1,1,1,35
1041.0,J4,1,2,2,35
1046.0,J1,0,0,0,34
1046.0,J2,1,1,1,34
1046.0,J3,0,0,1,34
1046.0,J4,0,1,1,34
1051.0,J1,0,2,2,33
1051.0,J2,3,3,3,33
1051.0,J3,0,1,1,33
1051.0,J4,0,1,1,33
1056.0,J1,3,1,1,30
1056.0,J2,3,1,1,30
1056.0,J3,1,1,1,30
1056.0,J4,3,1,1,30
1061.0,J1,3,2,2,32
1061.0,J2,1,2,3,32
1061.0,J3,1,0,0,32
1061.0,J4,3,0,1,32
1066.0,J1,1,2,2,34
1066.0,J2,1,3,3,34
1066.0,J3,0,2,2,34
1066.0,J4,1,3,3,34
1071.0,J1,1,2,2,36
1071.0,J2,2,4,4,36
1071.0,J3,0,0,0,36
1071.0,J4,1,0,0,36
1076.0,J1,3,1,1,34
1076.0,J2,2,2,2,34
1076.0,J3,0,0,0,34
1076.0,J4,0,0,0,34
1081.0,J1,3,2,2,36
1081.0,J2,0,4,4,36
1081.0,J3,0,2,2,36
1081.0,J4,0,1,2,36
1086.0,J1,0,1,1,35
1086.0,J2,0,1,3,35
1086.0,J3,1,1,1,35
1086.0,J4,1,0,2,35
1091.0,J1,0,2,2,36
1091.0,J2,1,5,5,36
1091.0,J3,1,0,0,36
1091.0,J4,1,0,0,36
1096.0,J1,1,2,2,37
1096.0,J2,1,0,0,37
1096.0,J3,0,1,1,37
1096.0,J4,0,0,0,37
1101.0,J1,1,2,2,32
1101.0,J2,0,2,2,32
1101.0,J3,0,0,0,32
1101.0,J4,0,0,1,32
1106.0,J1,3,1,1,30
1106.0,J2,0,2,2,30
1106.0,J3,0,0,0,30
1106.0,J4,0,0,0,30
1111.0,J1,3,1,1,33
1111.0,J2,2,3,3,33
1111.0,J3,0,1,1,33
1111.0,J4,1,0,1,33
1116.0,J1,0,0,0,30
1116.0,J2,2,2,2,30
